id_venda,forma_de_pagamento,parcelas,bandeira
258,debito,1,Hipercard
259,credito,6,Elo
260,credito,1,Mastercard
261,boleto,0,
262,debito,1,Visa
263,credito,3,Diners
264,credito,10,Diners
265,debito,1,Hipercard
266,credito,3,Elo
267,pix,0,
268,debito,1,Visa
269,boleto,0,
270,credito,6,Hipercard
271,boleto,0,
272,boleto,0,
273,credito,6,Mastercard
274,debito,1,Elo
275,pix,0,
276,credito,1,Elo
277,credito,2,Diners
278,debito,1,Elo
279,debito,1,Hipercard
280,debito,1,American Express
281,boleto,0,
282,credito,2,Diners
283,pix,0,
284,debito,1,Mastercard
285,debito,1,Elo
286,debito,1,Diners
287,debito,1,Visa
288,credito,3,American Express
289,pix,0,
290,debito,1,Hipercard
291,credito,4,Elo
292,credito,1,Mastercard
293,pix,0,
294,credito,10,Mastercard
295,credito,4,American Express
296,debito,1,American Express
297,credito,3,Mastercard
298,pix,0,
299,boleto,0,
300,debito,1,Hipercard
301,pix,0,
302,credito,1,Mastercard
303,credito,4,Visa
304,boleto,0,
305,debito,1,American Express
306,pix,0,
307,debito,1,Hipercard
308,credito,1,Hipercard
309,pix,0,
310,credito,3,Diners
311,credito,2,Diners
312,debito,1,Diners
313,credito,10,Hipercard
314,credito,3,Elo
315,boleto,0,
316,debito,1,Mastercard
317,pix,0,
318,credito,1,Hipercard
319,credito,6,Diners
320,pix,0,
321,credito,3,Hipercard
322,credito,1,Diners
323,debito,1,Hipercard
324,credito,2,Hipercard
325,debito,1,Hipercard
326,boleto,0,
327,debito,1,Hipercard
328,debito,1,Elo
329,debito,1,American Express
330,credito,4,Elo
331,credito,1,Mastercard
332,debito,1,Elo
333,pix,0,
334,credito,1,Mastercard
335,credito,2,Elo
336,debito,1,American Express
337,credito,4,American Express
338,boleto,0,
339,debito,1,American Express
340,debito,1,Mastercard
341,credito,2,Elo
342,debito,1,Mastercard
343,credito,3,Hipercard
344,credito,1,Diners
345,credito,1,Diners
346,pix,0,
347,credito,6,Mastercard
348,debito,1,American Express
349,pix,0,
350,debito,1,Diners
351,pix,0,
352,credito,3,Elo
353,credito,2,Hipercard
354,debito,1,Mastercard
355,debito,1,Hipercard
356,credito,1,Visa
357,debito,1,Visa
358,debito,1,Visa
359,credito,10,American Express
360,pix,0,
361,pix,0,
362,boleto,0,
363,credito,12,Visa
364,credito,1,Visa
365,boleto,0,
366,credito,3,American Express
367,credito,2,Visa
368,debito,1,Elo
369,credito,1,Elo
370,debito,1,Hipercard
371,debito,1,Mastercard
372,credito,10,Elo
373,credito,6,Hipercard
374,credito,2,Visa
375,credito,2,Hipercard
376,credito,2,Elo
377,credito,1,Diners
378,debito,1,Mastercard
379,pix,0,
380,credito,4,American Express
381,boleto,0,
382,debito,1,American Express
383,pix,0,
384,pix,0,
385,credito,3,Elo
386,debito,1,Hipercard
387,credito,2,American Express
388,pix,0,
389,boleto,0,
390,credito,1,Mastercard
391,pix,0,
392,credito,3,American Express
393,credito,1,Diners
394,credito,2,Diners
395,credito,3,Hipercard
396,debito,1,Mastercard
397,credito,4,Diners
398,debito,1,Visa
399,credito,2,American Express
400,credito,12,American Express
401,debito,1,Diners
402,credito,4,Elo
403,credito,1,American Express
404,debito,1,Hipercard
405,boleto,0,
406,credito,6,American Express
407,credito,2,Diners
408,pix,0,
409,debito,1,Hipercard
410,boleto,0,
411,boleto,0,
412,pix,0,
413,credito,2,Hipercard
414,boleto,0,
415,debito,1,Diners
416,debito,1,Visa
417,credito,2,Visa
418,debito,1,Hipercard
419,credito,1,American Express
420,credito,1,Diners
421,boleto,0,
422,boleto,0,
423,credito,1,Diners
424,debito,1,Mastercard
425,credito,4,Mastercard
426,boleto,0,
427,pix,0,
428,debito,1,Mastercard
429,credito,3,Elo
430,credito,1,American Express
431,credito,2,Elo
432,credito,1,Diners
433,debito,1,Mastercard
434,pix,0,
435,credito,3,Diners
436,credito,10,Diners
437,credito,6,Visa
438,credito,4,Elo
439,credito,2,Mastercard
440,credito,2,Mastercard
441,boleto,0,
442,debito,1,Elo
443,credito,12,Mastercard
444,debito,1,Diners
445,pix,0,
446,credito,10,Mastercard
447,credito,3,Visa
448,credito,3,Visa
449,debito,1,Diners
450,credito,12,Elo
451,pix,0,
452,pix,0,
453,pix,0,
454,boleto,0,
455,pix,0,
456,pix,0,
457,credito,4,Elo
458,pix,0,
459,boleto,0,
460,credito,1,Visa
461,boleto,0,
462,pix,0,
463,credito,1,Diners
464,credito,3,Diners
465,credito,3,Mastercard
466,pix,0,
467,debito,1,Diners
468,credito,10,American Express
469,debito,1,Hipercard
470,credito,2,Elo
471,debito,1,Elo
472,boleto,0,
473,pix,0,
474,credito,1,American Express
475,credito,4,Hipercard
476,boleto,0,
477,credito,2,Mastercard
478,pix,0,
479,pix,0,
480,credito,4,Mastercard
481,debito,1,Hipercard
482,credito,2,Diners
483,credito,2,Hipercard
484,debito,1,Elo
485,credito,2,Visa
486,debito,1,Hipercard
487,credito,4,Mastercard
488,credito,2,Elo
489,pix,0,
490,credito,3,Hipercard
491,credito,6,Mastercard
492,boleto,0,
493,credito,3,Visa
494,credito,12,Diners
495,credito,4,Mastercard
496,credito,3,American Express
497,pix,0,
498,pix,0,
499,credito,3,Hipercard
500,credito,2,Mastercard
501,credito,2,Elo
502,debito,1,Diners
503,credito,3,Elo
504,credito,2,Mastercard
505,boleto,0,
506,credito,2,Hipercard
507,credito,2,American Express
508,debito,1,American Express
509,credito,1,Diners
510,pix,0,
511,pix,0,
512,credito,3,Hipercard
513,credito,2,Mastercard
514,credito,3,American Express
515,credito,10,Mastercard
516,debito,1,American Express
517,credito,4,Mastercard
518,credito,2,Visa
519,credito,2,Visa
520,credito,1,Hipercard
521,credito,1,Mastercard
522,pix,0,
523,credito,1,Elo
524,pix,0,
525,debito,1,Elo
526,debito,1,Visa
527,credito,3,Visa
528,credito,3,Diners
529,pix,0,
530,debito,1,Diners
531,credito,3,Diners
532,debito,1,Elo
533,debito,1,Visa
534,debito,1,Elo
535,debito,1,Mastercard
536,debito,1,Mastercard
537,pix,0,
538,boleto,0,
539,credito,4,Mastercard
540,credito,4,American Express
541,credito,2,Hipercard
542,boleto,0,
543,credito,4,Mastercard
544,debito,1,Diners
545,credito,2,Visa
546,pix,0,
547,credito,3,Hipercard
548,boleto,0,
549,pix,0,
550,boleto,0,
551,debito,1,Visa
552,pix,0,
553,boleto,0,
554,boleto,0,
555,credito,2,American Express
556,debito,1,Hipercard
557,debito,1,American Express
558,credito,1,Mastercard
559,debito,1,Elo
560,credito,1,Visa
561,credito,4,Visa
562,debito,1,Diners
563,credito,1,Diners
564,debito,1,Elo
565,boleto,0,
566,debito,1,Diners
567,credito,2,Hipercard
568,pix,0,
569,credito,3,Elo
570,credito,1,Visa
571,credito,3,American Express
572,credito,1,Hipercard
573,credito,1,Mastercard
574,credito,1,Hipercard
575,credito,4,Mastercard
576,debito,1,Elo
577,credito,1,Elo
578,debito,1,Diners
579,credito,1,American Express
580,debito,1,Visa
581,pix,0,
582,debito,1,Diners
583,credito,6,Visa
584,credito,6,Hipercard
585,credito,2,Visa
586,debito,1,American Express
587,pix,0,
588,pix,0,
589,debito,1,Hipercard
590,debito,1,Diners
591,debito,1,Diners
592,debito,1,Elo
593,boleto,0,
594,credito,2,Hipercard
595,pix,0,
596,pix,0,
597,credito,1,Mastercard
598,pix,0,
599,debito,1,Elo
600,debito,1,American Express
601,credito,6,Diners
602,credito,1,Elo
603,credito,10,Visa
604,boleto,0,
605,boleto,0,
606,credito,10,Mastercard
607,boleto,0,
608,boleto,0,
609,pix,0,
610,credito,3,American Express
611,pix,0,
612,boleto,0,
613,debito,1,Diners
614,credito,3,Hipercard
615,debito,1,Visa
616,credito,6,Elo
617,credito,2,Hipercard
618,debito,1,Visa
619,debito,1,Hipercard
620,credito,2,Visa
621,credito,1,Hipercard
622,credito,1,American Express
623,credito,3,Visa
624,pix,0,
625,debito,1,Elo
626,boleto,0,
627,credito,4,Diners
628,debito,1,Mastercard
629,debito,1,Diners
630,credito,2,Visa
631,debito,1,Diners
632,credito,6,Elo
633,credito,1,Mastercard
634,debito,1,Visa
635,pix,0,
636,credito,3,Diners
637,credito,3,Elo
638,boleto,0,
639,pix,0,
640,credito,2,American Express
641,debito,1,Diners
642,credito,3,Elo
643,debito,1,Hipercard
644,credito,4,American Express
645,credito,12,Hipercard
646,boleto,0,
647,boleto,0,
648,credito,10,Hipercard
649,boleto,0,
650,credito,2,American Express
651,credito,12,Diners
652,pix,0,
653,pix,0,
654,boleto,0,
655,debito,1,American Express
656,credito,1,Mastercard
657,credito,3,Diners
658,pix,0,
659,pix,0,
660,credito,3,Elo
661,debito,1,Elo
662,debito,1,Hipercard
663,debito,1,Hipercard
664,credito,10,Hipercard
665,boleto,0,
666,boleto,0,
667,credito,1,Mastercard
668,credito,4,Diners
669,pix,0,
670,credito,4,Diners
671,debito,1,Diners
672,credito,4,Hipercard
673,boleto,0,
674,credito,2,American Express
675,debito,1,Hipercard
676,credito,10,Diners
677,debito,1,Hipercard
678,credito,1,Diners
679,pix,0,
680,boleto,0,
681,boleto,0,
682,credito,6,Hipercard
683,credito,3,Visa
684,pix,0,
685,credito,2,Elo
686,credito,2,Diners
687,credito,10,American Express
688,credito,3,Hipercard
689,pix,0,
690,pix,0,
691,debito,1,American Express
692,debito,1,Diners
693,credito,1,Diners
694,debito,1,Hipercard
695,credito,2,American Express
696,credito,3,Elo
697,credito,1,American Express
698,credito,3,Elo
699,debito,1,Mastercard
700,debito,1,Diners
701,boleto,0,
702,credito,1,Visa
703,credito,3,Hipercard
704,boleto,0,
705,credito,3,Visa
706,debito,1,Elo
707,pix,0,
708,boleto,0,
709,debito,1,Mastercard
710,debito,1,Mastercard
711,pix,0,
712,pix,0,
713,debito,1,Visa
714,debito,1,Diners
715,debito,1,Hipercard
716,credito,3,Visa
717,credito,10,Diners
718,debito,1,Mastercard
719,boleto,0,
720,debito,1,Mastercard
721,boleto,0,
722,credito,3,Visa
723,debito,1,Diners
724,credito,6,Mastercard
725,credito,2,Visa
726,credito,6,Mastercard
727,credito,3,Elo
728,credito,2,Visa
729,pix,0,
730,credito,3,Visa
731,credito,2,Mastercard
732,debito,1,Mastercard
733,debito,1,Hipercard
734,debito,1,Diners
735,debito,1,Visa
736,credito,2,Visa
737,credito,4,Mastercard
738,boleto,0,
739,credito,1,Mastercard
740,credito,12,American Express
741,boleto,0,
742,credito,2,Mastercard
743,credito,3,Visa
744,boleto,0,
745,credito,6,Visa
746,debito,1,Mastercard
747,credito,3,Hipercard
748,debito,1,Elo
749,pix,0,
750,credito,2,Diners
751,debito,1,Diners
752,debito,1,Visa
753,credito,12,Diners
754,credito,2,Diners
755,pix,0,
756,credito,1,Elo
757,debito,1,Mastercard
758,credito,12,Mastercard
759,debito,1,Elo
760,debito,1,Elo
761,credito,2,American Express
762,debito,1,Hipercard
763,debito,1,Visa
764,boleto,0,
765,credito,3,Elo
766,credito,3,Visa
767,debito,1,Diners
768,credito,3,Diners
769,credito,3,Hipercard
770,debito,1,Hipercard
771,credito,10,Mastercard
772,debito,1,Elo
773,pix,0,
774,credito,10,Diners
775,credito,2,Diners
776,pix,0,
777,credito,1,American Express
778,boleto,0,
779,debito,1,Diners
780,debito,1,Diners
781,credito,3,Mastercard
782,credito,10,Hipercard
783,debito,1,Visa
784,boleto,0,
785,credito,6,Diners
786,debito,1,Elo
787,pix,0,
788,credito,4,Mastercard
789,debito,1,Elo
790,credito,2,Hipercard
791,credito,2,Elo
792,credito,2,Visa
793,debito,1,Visa
794,debito,1,Visa
795,credito,4,American Express
796,pix,0,
797,credito,1,American Express
798,debito,1,Diners
799,boleto,0,
800,debito,1,Hipercard
801,debito,1,Visa
802,credito,4,Visa
803,credito,1,American Express
804,credito,2,Hipercard
805,debito,1,Hipercard
806,debito,1,Diners
807,pix,0,
808,credito,12,American Express
809,debito,1,Elo
810,debito,1,Mastercard
811,pix,0,
812,debito,1,Mastercard
813,credito,6,Mastercard
814,debito,1,Mastercard
815,debito,1,American Express
816,pix,0,
817,credito,3,Diners
818,boleto,0,
819,debito,1,Mastercard
820,credito,4,Visa
821,credito,4,Diners
822,pix,0,
823,credito,1,Visa
824,credito,3,Elo
825,pix,0,
826,debito,1,Elo
827,credito,3,Elo
828,boleto,0,
829,credito,4,Elo
830,credito,4,Mastercard
831,credito,2,Hipercard
832,pix,0,
833,debito,1,Mastercard
834,credito,10,American Express
835,debito,1,Hipercard
836,credito,3,Visa
837,pix,0,
838,debito,1,Diners
839,credito,3,Visa
840,debito,1,Hipercard
841,boleto,0,
842,credito,3,Visa
843,credito,3,American Express
844,pix,0,
845,credito,2,Visa
846,debito,1,Mastercard
847,boleto,0,
848,credito,3,American Express
849,pix,0,
850,boleto,0,
851,boleto,0,
852,credito,10,American Express
853,credito,1,Diners
854,credito,3,Mastercard
855,pix,0,
856,credito,4,Visa
857,boleto,0,
858,debito,1,Mastercard
859,boleto,0,
860,credito,1,Mastercard
861,pix,0,
862,debito,1,Visa
863,credito,3,American Express
864,pix,0,
865,debito,1,Elo
866,credito,2,Elo
867,boleto,0,
868,credito,1,Diners
869,debito,1,Elo
870,debito,1,Hipercard
871,credito,2,Diners
872,credito,1,Visa
873,credito,3,Elo
874,debito,1,Hipercard
875,debito,1,American Express
876,credito,2,Mastercard
877,credito,1,Visa
878,credito,2,Elo
879,pix,0,
880,credito,10,Diners
881,credito,2,Elo
882,boleto,0,
883,credito,1,Visa
884,pix,0,
885,debito,1,Diners
886,credito,1,American Express
887,pix,0,
888,pix,0,
889,debito,1,Elo
890,credito,4,Elo
891,credito,2,Hipercard
892,debito,1,Hipercard
893,credito,3,Hipercard
894,pix,0,
895,boleto,0,
896,credito,2,Elo
897,credito,2,Diners
898,debito,1,Hipercard
899,credito,1,Mastercard
900,credito,2,Hipercard
901,debito,1,Elo
902,debito,1,Hipercard
903,debito,1,Hipercard
904,boleto,0,
905,boleto,0,
906,credito,1,Diners
907,debito,1,Visa
908,credito,1,Elo
909,pix,0,
910,credito,3,American Express
911,debito,1,Hipercard
912,credito,1,Mastercard
913,debito,1,Mastercard
914,credito,1,Visa
915,pix,0,
916,debito,1,American Express
917,credito,2,Mastercard
918,debito,1,American Express
919,credito,1,Hipercard
920,credito,1,Elo
921,debito,1,Hipercard
922,debito,1,Hipercard
923,credito,2,American Express
924,credito,3,Mastercard
925,credito,2,Diners
926,pix,0,
927,credito,12,Diners
928,credito,2,Mastercard
929,debito,1,Elo
930,credito,1,American Express
931,credito,12,American Express
932,credito,3,Hipercard
933,boleto,0,
934,boleto,0,
935,debito,1,Hipercard
936,credito,1,Elo
937,credito,1,Diners
938,credito,1,American Express
939,pix,0,
940,pix,0,
941,credito,1,Diners
942,credito,2,Diners
943,credito,10,Visa
944,credito,1,American Express
945,credito,12,Hipercard
946,pix,0,
947,boleto,0,
948,credito,1,Mastercard
949,credito,2,Mastercard
950,boleto,0,
951,credito,2,Visa
952,debito,1,Diners
953,credito,3,Visa
954,credito,1,Mastercard
955,credito,10,Visa
956,credito,2,Diners
957,credito,3,Visa
958,boleto,0,
959,credito,1,Elo
960,pix,0,
961,boleto,0,
962,debito,1,Hipercard
963,credito,1,Mastercard
964,boleto,0,
965,debito,1,Hipercard
966,debito,1,Mastercard
967,credito,3,Hipercard
968,boleto,0,
969,pix,0,
970,credito,3,Diners
971,debito,1,Diners
972,pix,0,
973,boleto,0,
974,pix,0,
975,pix,0,
976,credito,4,Visa
977,debito,1,Elo
978,credito,1,Elo
979,credito,4,American Express
980,credito,6,Diners
981,debito,1,Visa
982,debito,1,American Express
983,credito,2,Mastercard
984,credito,1,Elo
985,boleto,0,
986,debito,1,Elo
987,credito,4,American Express
988,credito,2,Hipercard
989,debito,1,Hipercard
990,credito,3,Mastercard
991,debito,1,Diners
992,debito,1,Mastercard
993,credito,2,American Express
994,credito,12,Mastercard
995,credito,2,Diners
996,pix,0,
997,boleto,0,
998,boleto,0,
999,pix,0,
1000,credito,2,Elo
1001,credito,1,American Express
1002,debito,1,Elo
1003,credito,4,Visa
1004,credito,2,Elo
1005,debito,1,Elo
1006,credito,4,Diners
1007,pix,0,
1008,boleto,0,
1009,credito,10,Hipercard
1010,credito,4,Mastercard
1011,credito,1,Mastercard
1012,pix,0,
1013,credito,4,American Express
1014,credito,4,Elo
1015,pix,0,
1016,credito,3,Visa
1017,debito,1,Visa
1018,pix,0,
1019,credito,3,Elo
1020,credito,1,Mastercard
1021,credito,3,American Express
1022,pix,0,
1023,credito,3,Hipercard
1024,debito,1,Elo
1025,credito,10,Visa
1026,credito,1,Diners
1027,credito,6,Elo
1028,pix,0,
1029,credito,1,Hipercard
1030,debito,1,American Express
1031,boleto,0,
1032,debito,1,Hipercard
1033,pix,0,
1034,boleto,0,
1035,pix,0,
1036,debito,1,Elo
1037,credito,4,Mastercard
1038,credito,2,Visa
1039,credito,3,Hipercard
1040,debito,1,Diners
1041,debito,1,Hipercard
1042,credito,3,Hipercard
1043,credito,3,Elo
1044,credito,4,Elo
1045,boleto,0,
1046,boleto,0,
1047,boleto,0,
1048,debito,1,Mastercard
1049,credito,3,Mastercard
1050,debito,1,Visa
1051,debito,1,Elo
1052,credito,10,Mastercard
1053,credito,2,Hipercard
1054,pix,0,
1055,boleto,0,
1056,credito,10,Hipercard
1057,credito,4,American Express
1058,debito,1,Diners
1059,debito,1,Mastercard
1060,boleto,0,
1061,credito,1,Visa
1062,debito,1,Diners
1063,credito,12,Elo
1064,debito,1,Visa
1065,credito,3,American Express
1066,credito,1,Hipercard
1067,credito,12,Diners
1068,credito,2,Hipercard
1069,credito,1,Elo
1070,credito,4,Visa
1071,pix,0,
1072,credito,3,Elo
1073,pix,0,
1074,credito,1,Hipercard
1075,pix,0,
1076,boleto,0,
1077,credito,2,Mastercard
1078,credito,2,American Express
1079,boleto,0,
1080,debito,1,Elo
1081,debito,1,Mastercard
1082,credito,1,Elo
1083,credito,4,Diners
1084,debito,1,Elo
1085,credito,2,Elo
1086,boleto,0,
1087,debito,1,Mastercard
1088,credito,2,Hipercard
1089,credito,4,American Express
1090,debito,1,American Express
1091,boleto,0,
1092,pix,0,
1093,pix,0,
1094,credito,1,Diners
1095,debito,1,Diners
1096,credito,4,Mastercard
1097,pix,0,
1098,debito,1,Hipercard
1099,credito,1,Diners
1100,credito,4,Elo
1101,credito,1,American Express
1102,credito,12,Diners
1103,debito,1,Elo
1104,pix,0,
1105,boleto,0,
1106,debito,1,American Express
1107,credito,2,Mastercard
1108,debito,1,Hipercard
1109,pix,0,
1110,credito,1,American Express
1111,debito,1,American Express
1112,credito,3,American Express
1113,credito,1,Hipercard
1114,credito,3,Visa
1115,debito,1,Hipercard
1116,credito,6,Elo
1117,credito,1,Hipercard
1118,debito,1,Hipercard
1119,credito,3,Visa
1120,pix,0,
1121,debito,1,Visa
1122,debito,1,Mastercard
1123,debito,1,Diners
1124,credito,2,Elo
1125,credito,12,Elo
1126,credito,2,American Express
1127,pix,0,
1128,boleto,0,
1129,pix,0,
1130,debito,1,Elo
1131,credito,4,Elo
1132,credito,1,American Express
1133,boleto,0,
1134,debito,1,Elo
1135,pix,0,
1136,pix,0,
1137,pix,0,
1138,credito,3,Hipercard
1139,boleto,0,
1140,pix,0,
1141,credito,1,Hipercard
1142,pix,0,
1143,credito,3,Diners
1144,credito,2,Elo
1145,boleto,0,
1146,credito,3,Elo
1147,credito,2,Diners
1148,credito,4,Elo
1149,credito,3,Diners
1150,debito,1,Visa
1151,debito,1,Elo
1152,debito,1,Diners
1153,credito,2,Elo
1154,debito,1,American Express
1155,credito,6,Visa
1156,boleto,0,
1157,credito,3,Elo
1158,pix,0,
1159,credito,4,Hipercard
1160,credito,3,Diners
1161,pix,0,
1162,debito,1,American Express
1163,debito,1,Hipercard
1164,pix,0,
1165,boleto,0,
1166,debito,1,Hipercard
1167,debito,1,Diners
1168,debito,1,American Express
1169,boleto,0,
1170,pix,0,
1171,boleto,0,
1172,boleto,0,
1173,credito,4,Visa
1174,boleto,0,
1175,boleto,0,
1176,credito,10,Visa
1177,credito,2,Diners
1178,debito,1,Mastercard
1179,debito,1,Hipercard
1180,credito,4,Elo
1181,credito,1,Elo
1182,credito,6,Diners
1183,credito,1,Visa
1184,debito,1,Mastercard
1185,credito,4,American Express
1186,pix,0,
1187,boleto,0,
1188,credito,3,Mastercard
1189,debito,1,Hipercard
1190,credito,1,Mastercard
1191,debito,1,Diners
1192,credito,12,Elo
1193,boleto,0,
1194,credito,2,Visa
1195,pix,0,
1196,credito,4,Elo
1197,credito,6,Visa
1198,boleto,0,
1199,credito,2,American Express
1200,debito,1,Hipercard
1201,pix,0,
1202,credito,3,Hipercard
1203,credito,6,American Express
1204,boleto,0,
1205,credito,1,Mastercard
1206,credito,3,Visa
1207,credito,2,Diners
1208,pix,0,
1209,debito,1,Visa
1210,boleto,0,
1211,credito,1,Visa
1212,credito,3,Mastercard
1213,debito,1,Diners
1214,pix,0,
1215,credito,2,American Express
1216,pix,0,
1217,credito,2,Visa
1218,credito,4,Elo
1219,boleto,0,
1220,credito,2,Hipercard
1221,boleto,0,
1222,pix,0,
1223,credito,6,American Express
1224,credito,1,Visa
1225,credito,2,American Express
1226,credito,10,Diners
1227,credito,2,Visa
1228,credito,4,Mastercard
1229,pix,0,
1230,credito,2,Diners
1231,credito,2,Hipercard
1232,credito,3,Hipercard
1233,boleto,0,
1234,debito,1,Elo
1235,credito,2,Hipercard
1236,debito,1,Elo
1237,debito,1,Elo
1238,credito,4,Visa
1239,debito,1,American Express
1240,credito,1,Elo
1241,pix,0,
1242,credito,10,Mastercard
1243,credito,2,Diners
1244,boleto,0,
1245,credito,2,Visa
1246,credito,6,American Express
1247,debito,1,Elo
1248,credito,2,Mastercard
1249,debito,1,American Express
1250,credito,1,Mastercard
1251,credito,3,Mastercard
1252,credito,3,Visa
1253,debito,1,Diners
1254,pix,0,
1255,boleto,0,
1256,credito,4,American Express
1257,pix,0,
1258,debito,1,Visa
1259,credito,1,Mastercard
1260,pix,0,
1261,credito,1,Mastercard
1262,debito,1,Hipercard
1263,boleto,0,
1264,credito,4,Diners
1265,boleto,0,
1266,debito,1,Visa
1267,debito,1,Elo
